都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,2068,520,1,2589,81,NA,2014-09-11
JP-02,青森県,249,339,6,594,21,NA,2014-09-11
JP-03,岩手県,31353,356,5,31714,29,※1,2014-09-11
JP-04,宮城県,76701,1130,5,77836,35,※1,2014-09-11
JP-05,秋田県,576,441,0,1017,20,NA,2014-09-11
JP-06,山形県,4181,579,48,4808,30,NA,2014-09-11
JP-07,福島県,75914,2663,NA,78577,46,※2 ※1,2014-09-11
JP-08,茨城県,3573,730,40,4343,42,NA,2014-09-11
JP-09,栃木県,2201,686,97,2984,25,NA,2014-09-11
JP-10,群馬県,1000,269,129,1398,25,NA,2014-09-11
JP-11,埼玉県,4063,1496,32,5591,57,NA,2014-09-11
JP-12,千葉県,1943,1589,33,3565,46,NA,2014-09-11
JP-13,東京都,5898,1731,30,7659,55,NA,2014-09-11
JP-14,神奈川県,2128,0,0,2128,24,※1,2014-09-11
JP-15,新潟県,3989,173,60,4222,28,NA,2014-09-11
JP-16,富山県,189,58,3,250,10,NA,2014-09-11
JP-17,石川県,300,52,4,356,11,NA,2014-09-11
JP-18,福井県,208,40,0,248,12,NA,2014-09-11
JP-19,山梨県,602,106,1,709,21,NA,2014-09-11
JP-20,長野県,903,162,0,1065,42,NA,2014-09-11
JP-21,岐阜県,205,108,0,313,25,NA,2014-09-11
JP-22,静岡県,695,263,5,963,30,NA,2014-09-11
JP-23,愛知県,1022,154,0,1176,43,NA,2014-09-11
JP-24,三重県,369,97,0,466,15,NA,2014-09-11
JP-25,滋賀県,146,81,0,227,12,NA,2014-09-11
JP-26,京都府,525,346,0,871,15,NA,2014-09-11
JP-27,大阪府,680,185,0,865,30,NA,2014-09-11
JP-28,兵庫県,632,279,0,911,27,NA,2014-09-11
JP-29,奈良県,78,83,0,161,18,NA,2014-09-11
JP-30,和歌山県,63,32,0,95,12,NA,2014-09-11
JP-31,鳥取県,124,51,0,175,12,NA,2014-09-11
JP-32,島根県,70,23,3,96,11,NA,2014-09-11
JP-33,岡山県,762,364,0,1126,18,NA,2014-09-11
JP-34,広島県,267,198,1,466,15,NA,2014-09-11
JP-35,山口県,88,41,0,129,10,NA,2014-09-11
JP-36,徳島県,36,30,0,66,12,NA,2014-09-11
JP-37,香川県,75,16,0,91,7,NA,2014-09-11
JP-38,愛媛県,44,139,2,185,11,NA,2014-09-11
JP-39,高知県,51,45,0,96,12,NA,2014-09-11
JP-40,福岡県,556,149,0,705,39,NA,2014-09-11
JP-41,佐賀県,152,22,0,174,9,NA,2014-09-11
JP-42,長崎県,93,35,0,128,10,NA,2014-09-11
JP-43,熊本県,275,88,0,363,18,NA,2014-09-11
JP-44,大分県,203,31,1,235,15,NA,2014-09-11
JP-45,宮崎県,176,56,0,232,11,NA,2014-09-11
JP-46,鹿児島県,138,65,1,204,23,NA,2014-09-11
JP-47,沖縄県,823,40,5,868,31,NA,2014-09-11
