都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,943,2094,3037,99,NA,2011-11-02
JP-02,青森県,0,1,607,490,1098,27,NA,2011-11-02
JP-03,岩手県,0,0,893,1085,1978,24,※1 ※2,2011-11-02
JP-04,宮城県,176,25,197,NA,398,4,NA,2011-11-02
JP-05,秋田県,0,104,778,751,1633,20,NA,2011-11-02
JP-06,山形県,12,129,678,12523,13342,34,NA,2011-11-02
JP-07,福島県,45,421,NA,NA,466,15,NA,2011-11-02
JP-08,茨城県,19,40,639,2273,2971,39,NA,2011-11-02
JP-09,栃木県,0,39,952,1691,2682,25,NA,2011-11-02
JP-10,群馬県,0,0,313,1722,2035,28,NA,2011-11-02
JP-11,埼玉県,673,6,0,4258,4937,56,NA,2011-11-02
JP-12,千葉県,0,NA,3736,NA,3736,46,NA,2011-11-02
JP-13,東京都,8,304,2313,5729,8354,55,NA,2011-11-02
JP-14,神奈川県,0,0,0,1732,1732,2,※2,2011-11-02
JP-15,新潟県,0,10,495,6358,6863,30,※2,2011-11-02
JP-16,富山県,0,0,106,346,452,12,NA,2011-11-02
JP-17,石川県,0,1,126,409,536,13,NA,2011-11-02
JP-18,福井県,0,18,94,384,496,16,NA,2011-11-02
JP-19,山梨県,0,0,295,539,834,21,NA,2011-11-02
JP-20,長野県,0,4,213,938,1155,48,NA,2011-11-02
JP-21,岐阜県,0,0,192,228,420,29,NA,2011-11-02
JP-22,静岡県,0,145,351,951,1447,33,NA,2011-11-02
JP-23,愛知県,0,0,262,989,1251,47,NA,2011-11-02
JP-24,三重県,0,0,41,148,189,12,NA,2011-11-02
JP-25,滋賀県,0,0,274,133,407,16,NA,2011-11-02
JP-26,京都府,0,NA,242,799,1041,18,NA,2011-11-02
JP-27,大阪府,0,0,294,1126,1420,33,NA,2011-11-02
JP-28,兵庫県,0,0,416,652,1068,28,NA,2011-11-02
JP-29,奈良県,0,0,68,89,157,17,NA,2011-11-02
JP-30,和歌山県,0,0,50,74,124,14,NA,2011-11-02
JP-31,鳥取県,0,0,44,126,170,15,NA,2011-11-02
JP-32,島根県,0,0,20,129,149,11,NA,2011-11-02
JP-33,岡山県,0,0,151,344,495,18,NA,2011-11-02
JP-34,広島県,0,0,173,324,497,14,NA,2011-11-02
JP-35,山口県,0,0,100,94,194,13,NA,2011-11-02
JP-36,徳島県,0,0,72,89,161,14,NA,2011-11-02
JP-37,香川県,0,0,25,63,88,8,NA,2011-11-02
JP-38,愛媛県,0,0,175,92,267,12,NA,2011-11-02
JP-39,高知県,0,0,71,61,132,16,NA,2011-11-02
JP-40,福岡県,0,0,221,494,715,37,NA,2011-11-02
JP-41,佐賀県,0,0,71,243,314,11,NA,2011-11-02
JP-42,長崎県,0,0,72,107,179,14,NA,2011-11-02
JP-43,熊本県,0,0,99,164,263,26,NA,2011-11-02
JP-44,大分県,0,0,114,259,373,16,NA,2011-11-02
JP-45,宮崎県,0,0,97,147,244,12,NA,2011-11-02
JP-46,鹿児島県,0,0,102,159,261,24,NA,2011-11-02
JP-47,沖縄県,0,19,102,683,804,22,NA,2011-11-02
