都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,518,2207,2725,89,NA,2014-01-16
JP-02,青森県,0,0,423,368,791,23,NA,2014-01-16
JP-03,岩手県,0,0,347,34891,35238,29,※1,2014-01-16
JP-04,宮城県,0,0,1087,89915,91002,35,※1,2014-01-16
JP-05,秋田県,0,0,454,638,1092,20,NA,2014-01-16
JP-06,山形県,0,0,562,5615,6177,32,NA,2014-01-16
JP-07,福島県,0,0,NA,86578,86578,47,※1,2014-01-16
JP-08,茨城県,0,0,626,4344,4970,42,NA,2014-01-16
JP-09,栃木県,0,0,598,2433,3031,25,NA,2014-01-16
JP-10,群馬県,0,0,242,1322,1564,26,NA,2014-01-16
JP-11,埼玉県,0,0,0,2971,2971,56,NA,2014-01-16
JP-12,千葉県,0,0,3397,566,3963,45,NA,2014-01-16
JP-13,東京都,0,0,1960,6073,8033,56,NA,2014-01-16
JP-14,神奈川県,0,0,0,2390,2390,24,※1,2014-01-16
JP-15,新潟県,0,0,212,4602,4814,28,NA,2014-01-16
JP-16,富山県,0,0,63,221,284,10,NA,2014-01-16
JP-17,石川県,0,0,66,337,403,11,NA,2014-01-16
JP-18,福井県,0,0,47,223,270,14,NA,2014-01-16
JP-19,山梨県,0,0,134,621,755,21,NA,2014-01-16
JP-20,長野県,0,0,154,1023,1177,42,NA,2014-01-16
JP-21,岐阜県,0,0,110,204,314,25,NA,2014-01-16
JP-22,静岡県,0,0,296,790,1086,30,NA,2014-01-16
JP-23,愛知県,0,0,176,1026,1202,44,NA,2014-01-16
JP-24,三重県,0,0,95,395,490,15,NA,2014-01-16
JP-25,滋賀県,0,0,206,99,305,14,NA,2014-01-16
JP-26,京都府,0,0,320,604,924,16,NA,2014-01-16
JP-27,大阪府,0,0,185,781,966,30,NA,2014-01-16
JP-28,兵庫県,0,0,261,671,932,26,NA,2014-01-16
JP-29,奈良県,0,0,91,77,168,18,NA,2014-01-16
JP-30,和歌山県,0,0,37,64,101,12,NA,2014-01-16
JP-31,鳥取県,0,0,50,131,181,12,NA,2014-01-16
JP-32,島根県,0,0,24,102,126,13,NA,2014-01-16
JP-33,岡山県,0,0,316,716,1032,19,NA,2014-01-16
JP-34,広島県,0,0,193,278,471,15,NA,2014-01-16
JP-35,山口県,0,0,44,104,148,12,NA,2014-01-16
JP-36,徳島県,0,0,31,42,73,12,NA,2014-01-16
JP-37,香川県,0,0,13,85,98,7,NA,2014-01-16
JP-38,愛媛県,0,0,139,46,185,11,NA,2014-01-16
JP-39,高知県,0,0,49,57,106,13,NA,2014-01-16
JP-40,福岡県,0,0,137,566,703,37,NA,2014-01-16
JP-41,佐賀県,0,0,24,189,213,9,NA,2014-01-16
JP-42,長崎県,0,0,53,91,144,10,NA,2014-01-16
JP-43,熊本県,0,0,107,291,398,20,NA,2014-01-16
JP-44,大分県,0,0,44,210,254,15,NA,2014-01-16
JP-45,宮崎県,0,0,71,184,255,11,NA,2014-01-16
JP-46,鹿児島県,0,0,73,157,230,26,NA,2014-01-16
JP-47,沖縄県,0,0,51,922,973,30,NA,2014-01-16
